10,11,12,13,14,15,16,17
0.733,0.767,0.8,0.8,0.84,0.84,0.88,0.88
0.644,0.711,0.733,0.744,0.84,0.84,0.84,0.84
0.6,0.656,0.667,0.678,0.76,0.76,0.84,0.84
0.733,0.767,0.789,0.789,0.6,0.6,0.64,0.64
0.7,0.744,0.789,0.811,0.6,0.6,0.6,0.6
0.644,0.722,0.79,0.811,0.6,0.6,0.6,0.6
0.644,0.733,0.811,0.822,0.68,0.68,0.72,0.72
0.722,0.789,0.811,0.822,0.64,0.64,0.76,0.8
0.467,0.522,0.567,0.6,0.76,0.76,0.76,0.76
0.444,0.522,0.622,0.644,0.68,0.68,0.72,0.72
0.711,0.767,0.8,0.822,0.72,0.72,0.76,0.76
0.644,0.7,0.722,0.733,0.8,0.8,0.84,0.84
0.689,0.711,0.744,0.778,0.72,0.72,0.8,0.8
0.267,0.36,0.567,0.622,0.2,0.24,0.28,0.44
0.611,0.678,0.722,0.733,0.68,0.68,0.72,0.72
0.467,0.689,0.833,0.867,0.64,0.76,0.8,0.88
0.544,0.622,0.733,0.767,0.24,0.32,0.4,0.44
0.244,0.411,0.556,0.644,0.2,0.44,0.6,0.68
